type,kind,definition_path,definition_line,inventory_scope,domain_group,domain_group_name,classification,classification_reason,coverage_disposition,coverage_reason,intended_ledger_status,integration_status,integration_reason,producer_count,producer_sites,publish_count,subscriber_count,participant_member_candidates,metric_member_candidates,current_transaction_boundary,joint_commit_feasibility,outcome_save_owner,domain_state_save_owner_candidates,ui_paths,query_paths,narrative_paths
CharacterAcquiredTraitManifestationDiagnosticEvent,struct,Assets/Scripts/Services/Character/Core/CharacterAcquiredTraitManifestationRuntime.cs,79,pre-existing-runtime-candidate,6,장비·특성·기술·시설 진화,NonResult,diagnostic-only manifestation trace; no gameplay state authority,NonResult,diagnostic-only manifestation trace; no gameplay state authority,N/A,excluded,diagnostic-only manifestation trace; no gameplay state authority,1,Assets/Scripts/Services/Character/Core/CharacterAcquiredTraitManifestationRuntime.cs:1592:Observation.CharacterAcquiredTraitCompletionCommand,1,0,,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterNarrativeSaveSection | CharacterWorldSaveSection | CombatEquipmentSaveSection | EquipmentEvolutionSaveSection | ModularFacilityWorldSaveSection,,Assets/Scripts/Services/Character/Core/CharacterAcquiredTraitManifestationRuntime.cs,
CharacterAcquiredTraitReactionExecutedEvent,struct,Assets/Scripts/Services/Character/Core/CharacterAcquiredTraitSpecialReaction.cs,142,pre-existing-runtime-candidate,6,장비·특성·기술·시설 진화,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"CharacterAcquiredTraitReactionExecutedEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Character/Core/CharacterAcquiredTraitSpecialReaction.cs:486:CharacterAcquiredTraitSpecialReactionRuntime.CharacterAcquiredTraitSpecialReactionRuntime,1,0,characterId,absoluteDay | appliedValue,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterNarrativeSaveSection | CharacterWorldSaveSection | CombatEquipmentSaveSection | EquipmentEvolutionSaveSection | ModularFacilityWorldSaveSection,,Assets/Scripts/Services/Character/Core/CharacterAcquiredTraitSpecialReaction.cs,
CharacterActivityEvent,class,Assets/Scripts/Services/Character/Core/CharacterActivityEvent.cs,39,pre-existing-runtime-candidate,4,관계·욕구·기분·생애·가족,NonResult,legacy character-log projection DTO; plan explicitly rejects it as gameplay truth authority,NonResult,legacy character-log projection DTO; plan explicitly rejects it as gameplay truth authority,legacy-projection,excluded,legacy character-log projection DTO; plan explicitly rejects it as gameplay truth authority,140,Assets/Scripts/Controllers/Character/Input/OwnerCommandController.cs:706:OwnerCommandController.Facility | Assets/Scripts/Controllers/Character/Input/OwnerCommandController.cs:725:OwnerCommandController.Facility | Assets/Scripts/Controllers/Character/Input/OwnerCommandController.cs:869:OwnerCommandController.CreateSuppressCommandFailure | Assets/Scripts/Controllers/Character/Input/OwnerCommandController.cs:875:OwnerCommandController.Create | Assets/Scripts/Services/Captivity/MinionSettlementSocialRuntime.cs:187:MinionSettlementSocialRuntime.Create | Assets/Scripts/Services/Captivity/MinionSettlementSocialRuntime.cs:195:MinionSettlementSocialRuntime.Create | Assets/Scripts/Services/Character/Ability/AbilityShopping.cs:277:AbilityShopping.Create | Assets/Scripts/Services/Character/Ability/AbilityShopping.cs:311:AbilityShopping.Facility | Assets/Scripts/Services/Character/Ability/AbilityShopping.cs:400:AbilityShopping.Facility | Assets/Scripts/Services/Character/Ability/AbilityShopping.cs:972:AbilityShopping.Create | Assets/Scripts/Services/Character/Ability/AbilityWork.cs:794:AbilityWork.Work | Assets/Scripts/Services/Character/Ability/AbilityWork.cs:981:AbilityWork.Work | Assets/Scripts/Services/Character/Ability/AbilityWork.cs:1495:AbilityWork.Work | Assets/Scripts/Services/Character/AI/Action/AIPrimitiveSurvivalActions.cs:33:AIPrimitiveSurvivalAction.InternalAi | Assets/Scripts/Services/Character/AI/AIBrain.cs:1130:AIBrain.InternalAi | Assets/Scripts/Services/Character/AI/AIBrain.cs:1984:AIBrain.InternalAi | Assets/Scripts/Services/Character/AI/AIBrain.cs:2012:AIBrain.InternalAi | Assets/Scripts/Services/Character/AI/AIBrain.cs:2178:AIBrain.InternalAi | Assets/Scripts/Services/Character/AI/AIBrain.cs:2368:AIBrain.InternalAi | Assets/Scripts/Services/Character/AI/AIBrain.cs:2628:AIBrain.InternalAi | Assets/Scripts/Services/Character/AI/AIBrain.cs:2644:AIBrain.InternalAi | Assets/Scripts/Services/Character/AI/AIBrain.cs:2879:AIBrain.InternalAi | Assets/Scripts/Services/Character/AI/CharacterAiDecisionPipeline.cs:638:RoutinePriorityScores.InternalAi | Assets/Scripts/Services/Character/AI/CharacterAiDecisionPipeline.cs:645:RoutinePriorityScores.InternalAi | Assets/Scripts/Services/Character/AI/CharacterAiMacroDecisionRunner.cs:111:CharacterAiMacroDecisionRunner.Create | Assets/Scripts/Services/Character/AI/CharacterAiMacroDecisionRunner.cs:246:CharacterAiMacroDecisionRunner.Create | Assets/Scripts/Services/Character/AI/CharacterAiMacroDecisionRunner.cs:285:CharacterAiMacroDecisionRunner.InternalAi | Assets/Scripts/Services/Character/AI/CharacterAiMacroDecisionRunner.cs:299:CharacterAiMacroDecisionRunner.InternalAi | Assets/Scripts/Services/Character/AI/CharacterAiMacroDecisionRunner.cs:311:CharacterAiMacroDecisionRunner.Facility | Assets/Scripts/Services/Character/AI/CharacterAlarmResponseRuntime.cs:462:CharacterAlarmResponseRuntime.Work | Assets/Scripts/Services/Character/AI/FacilityCandidateScorer.cs:784:FacilityCandidateScorer.InternalAi | Assets/Scripts/Services/Character/AI/Idle/IdleBehavior.cs:183:ShortChatIdleBehavior.Create | Assets/Scripts/Services/Character/AI/Idle/IdleBehavior.cs:199:ShortChatIdleBehavior.Create | Assets/Scripts/Services/Character/AI/Idle/IdleBehavior.cs:213:ShortChatIdleBehavior.Create | Assets/Scripts/Services/Character/Core/CharacterActivityEvent.cs:92:CharacterActivityEvent.Create | Assets/Scripts/Services/Character/Core/CharacterActivityEvent.cs:116:CharacterActivityEvent.CharacterActivityEvent | Assets/Scripts/Services/Character/Core/CharacterActivityEvent.cs:136:CharacterActivityEvent.Work | Assets/Scripts/Services/Character/Core/CharacterActivityEvent.cs:167:CharacterActivityEvent.Work | Assets/Scripts/Services/Character/Core/CharacterActivityEvent.cs:193:CharacterActivityEvent.Facility | Assets/Scripts/Services/Character/Core/CharacterActivityEvent.cs:220:CharacterActivityEvent.FreeText | Assets/Scripts/Services/Character/Core/CharacterActivityEvent.cs:230:CharacterActivityEvent.InternalAi | Assets/Scripts/Services/Character/Core/CharacterActivityEvent.cs:242:CharacterActivityEvent.WithActor | Assets/Scripts/Services/Character/Core/CharacterActivityEvent.cs:262:CharacterActivityEvent.CharacterActivityEvent | Assets/Scripts/Services/Character/Core/CharacterBuildingVisitorPort.cs:261:CharacterBuildingVisitorAdapter.Work | Assets/Scripts/Services/Character/Core/CharacterBuildingVisitorPort.cs:273:CharacterBuildingVisitorAdapter.Facility | Assets/Scripts/Services/Character/Core/CharacterLifecycle.cs:240:CharacterLifecycle.Create | Assets/Scripts/Services/Character/Core/CharacterLifecycle.cs:262:CharacterLifecycle.Create | Assets/Scripts/Services/Character/Core/CharacterLog.cs:69:CharacterLog.FreeText | Assets/Scripts/Services/Character/Core/CharacterLog.cs:93:CharacterLog.FreeText | Assets/Scripts/Services/Character/Core/CharacterLog.cs:319:CharacterLog.FreeText | Assets/Scripts/Services/Character/Core/CharacterLog.cs:389:CharacterLogEntry.FreeText | Assets/Scripts/Services/Character/Core/CharacterLog.cs:400:CharacterLogEntry.FreeText | Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs:934:SocialIdentityEventAdapter.Create | Assets/Scripts/Services/Character/SpeciesRuntime.cs:888:CharacterSpeciesRuntime.Facility | Assets/Scripts/Services/Character/Work/StaffDiscontentRuntime.cs:334:StaffDiscontentRuntime.Create | Assets/Scripts/Services/Character/Work/WorkCommandHandler.cs:124:WorkCommandHandler.Work | Assets/Scripts/Services/Character/Work/WorkCommandHandler.cs:160:WorkCommandHandler.Create | Assets/Scripts/Services/Character/Work/WorkCommandHandler.cs:244:WorkCommandHandler.Create | Assets/Scripts/Services/Character/Work/WorkCommandHandler.cs:267:WorkCommandHandler.Create | Assets/Scripts/Services/Character/Work/WorkCommandHandler.cs:290:WorkCommandHandler.Create | Assets/Scripts/Services/Character/Work/WorkCommandHandler.cs:308:WorkCommandHandler.Create | Assets/Scripts/Services/Character/Work/WorkCommandHandler.cs:333:WorkCommandHandler.Create | Assets/Scripts/Services/Character/Work/WorkCommandHandler.cs:353:WorkCommandHandler.Create | Assets/Scripts/Services/Character/Work/WorkCommandHandler.cs:393:WorkCommandHandler.Create | Assets/Scripts/Services/Character/Work/WorkDebugLog.cs:7:WorkDebugLog.Work | Assets/Scripts/Services/Character/Work/WorkDebugLog.cs:28:WorkDebugLog.Work | Assets/Scripts/Services/Character/Work/WorkDutyController.cs:230:WorkDutyController.Create | Assets/Scripts/Services/Character/Work/WorkDutyController.cs:250:WorkDutyController.Create | Assets/Scripts/Services/Character/Work/WorkDutyController.cs:273:WorkDutyController.Create | Assets/Scripts/Services/Character/Work/WorkDutyController.cs:352:WorkDutyController.Create | Assets/Scripts/Services/Character/Work/WorkDutyController.cs:373:WorkDutyController.Create | Assets/Scripts/Services/Character/Work/WorkDutyController.cs:523:WorkDutyController.Create | Assets/Scripts/Services/Character/Work/WorkDutyController.cs:696:WorkDutyController.Work | Assets/Scripts/Services/Character/Work/WorkTargetSelector.cs:132:WorkTargetSelector.Create | Assets/Scripts/Services/Character/Work/WorkTargetSelector.cs:153:WorkTargetSelector.Create | Assets/Scripts/Services/Character/Work/WorkTargetSelector.cs:189:WorkTargetSelector.Work | Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs:317:WorkTaskExecutor.Work | Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs:444:WorkTaskExecutor.Work | Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs:510:WorkTaskExecutor.Work | Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs:651:WorkTaskExecutor.Work | Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs:676:WorkTaskExecutor.Work | Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs:948:WorkTaskExecutor.Work | Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs:1011:WorkTaskExecutor.Work | Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs:1113:WorkTaskExecutor.Work | Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs:1142:WorkTaskExecutor.Work | Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs:1387:WorkTaskExecutor.Work | Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs:1470:WorkTaskExecutor.Work | Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs:1534:WorkTaskExecutor.Work | Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs:1622:WorkTaskExecutor.Work | Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs:1803:WorkTaskExecutor.Work | Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs:2132:WorkTaskExecutor.Work | Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs:2279:WorkTaskExecutor.Work | Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs:2361:WorkTaskExecutor.Work | Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs:2388:WorkTaskExecutor.Work | Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs:2405:WorkTaskExecutor.Work | Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs:2593:WorkTaskExecutor.Work | Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs:2742:WorkTaskExecutor.Work | Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs:2775:WorkTaskExecutor.Create | Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs:2871:WorkTaskExecutor.Work | Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs:3105:WorkTaskExecutor.Work | Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs:3441:WorkTaskExecutor.Work | Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs:3842:WorkTaskExecutor.Work | Assets/Scripts/Services/Combat/CharacterBodyHealthStateRules.cs:1167:CharacterVitalsSideEffectAdapter.Create | Assets/Scripts/Services/Combat/CharacterBodyHealthStateRules.cs:1198:CharacterVitalsSideEffectAdapter.Create | Assets/Scripts/Services/Combat/CharacterBodyHealthStateRules.cs:1212:CharacterVitalsSideEffectAdapter.Create | Assets/Scripts/Services/Combat/CharacterBodyHealthStateRules.cs:1242:CharacterVitalsSideEffectAdapter.Create | Assets/Scripts/Services/Combat/Work/RepairWorkExecutionHandler.cs:180:RepairWorkExecutionHandler.Work | Assets/Scripts/Services/Combat/Work/RepairWorkExecutionHandler.cs:234:RepairWorkExecutionHandler.Work | Assets/Scripts/Services/Combat/Work/RepairWorkExecutionHandler.cs:383:RepairWorkExecutionHandler.Work | Assets/Scripts/Services/Combat/Work/RepairWorkExecutionHandler.cs:408:RepairWorkExecutionHandler.Work | Assets/Scripts/Services/Combat/Work/RepairWorkExecutionHandler.cs:454:RepairWorkExecutionHandler.Work | Assets/Scripts/Services/Combat/Work/RepairWorkExecutionHandler.cs:492:RepairWorkExecutionHandler.Work | Assets/Scripts/Services/Defense/DefenseFacilitySystem.cs:331:DefenseFacility.Facility | Assets/Scripts/Services/Infrastructure/AI/Actions/AIWaitAdapter.cs:166:AIWait.Create | Assets/Scripts/Services/Infrastructure/AI/Actions/AIWaitAdapter.cs:184:AIWait.Create | Assets/Scripts/Services/Infrastructure/ResearchWorkExecutionAdapter.cs:192:ResearchWorkExecutionHandler.Work | Assets/Scripts/Services/Infrastructure/ResearchWorkExecutionAdapter.cs:203:ResearchWorkExecutionHandler.Work | Assets/Scripts/Services/Invasion/DefenseEngagementCombatRuntime.cs:64:DefenseEngagementCombatRuntime.Create | Assets/Scripts/Services/Invasion/DefenseEngagementCombatRuntime.cs:263:DefenseEngagementCombatRuntime.Create | Assets/Scripts/Services/Invasion/DefenseGuardControlRuntime.cs:41:DefenseGuardControlRuntime.Create | Assets/Scripts/Services/Invasion/InvasionIntruderExecutionCoordinator.cs:578:InvasionIntruderExecutionCoordinator.Facility | Assets/Scripts/Services/Invasion/InvasionIntruderSystem.cs:708:InvasionIntruderRuntime.Facility | Assets/Scripts/Services/Invasion/InvasionIntruderSystem.cs:737:InvasionIntruderRuntime.Create | Assets/Scripts/Services/Invasion/InvasionIntruderSystem.cs:770:InvasionIntruderRuntime.Create | Assets/Scripts/Services/Invasion/InvasionOwnerEvacuationService.cs:962:RestoreCandidate.Create | Assets/Scripts/Services/Invasion/InvasionOwnerEvacuationService.cs:1578:RestoreCandidate.Create | Assets/Scripts/Services/Survival/CharacterBreakdownActionRunner.cs:643:CharacterBreakdownActionRunner.Create | Assets/Scripts/Services/Survival/CharacterBreakdownActionRunner.cs:687:CharacterBreakdownActionRunner.Facility | Assets/Scripts/Services/Survival/CharacterBreakdownActionRunner.cs:724:CharacterBreakdownActionRunner.Create | Assets/Scripts/Services/Survival/CharacterBreakdownActionRunner.cs:743:CharacterBreakdownActionRunner.Create | Assets/Scripts/Services/Survival/CharacterDeprivationRuntime.cs:1473:CharacterDeprivationRuntime.Create | Assets/Scripts/Services/Survival/CharacterPrimitiveSurvivalRunner.cs:175:RunningPrimitiveAction.InternalAi | Assets/Scripts/Services/Survival/CharacterPrimitiveSurvivalRunner.cs:372:RunningPrimitiveAction.Create | Assets/Scripts/Services/Survival/CharacterPrimitiveSurvivalRunner.cs:413:RunningPrimitiveAction.InternalAi | Assets/Scripts/Services/Survival/CharacterPrimitiveSurvivalRunner.cs:448:RunningPrimitiveAction.Create | Assets/Scripts/Services/Survival/CharacterPrimitiveSurvivalRunner.cs:543:RunningPrimitiveAction.Create | Assets/Scripts/Services/Survival/CharacterPrimitiveSurvivalRunner.cs:642:RunningPrimitiveAction.Create | Assets/Scripts/Services/Survival/CharacterPrimitiveSurvivalRunner.cs:708:RunningPrimitiveAction.InternalAi | Assets/Scripts/Services/Survival/CharacterPrimitiveSurvivalRunner.cs:799:RunningPrimitiveAction.InternalAi | Assets/Scripts/Services/Wildlife/WildlifeHuntRuntime.cs:361:WildlifeHuntRuntime.Create,0,0,,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterLifeSaveSection | CharacterNarrativeSaveSection | CharacterPsychosocialSaveSection | CharacterWorldSaveSection | DarkSurvivalSaveSection | SurvivalResourcesSaveSection,Assets/Scripts/Views/Character/UI/CharacterFeedbackBubble.cs,Assets/Scripts/Services/Captivity/MinionSettlementSocialRuntime.cs | Assets/Scripts/Services/Character/Ability/AbilityWork.cs | Assets/Scripts/Services/Character/AI/CharacterAiDecisionPipeline.cs | Assets/Scripts/Services/Character/AI/CharacterAiMacroDecisionRunner.cs | Assets/Scripts/Services/Character/AI/CharacterAlarmResponseRuntime.cs | Assets/Scripts/Services/Character/AI/CharacterRecordTemplateBank.cs | Assets/Scripts/Services/Character/AI/FacilityCandidateScorer.cs | Assets/Scripts/Services/Character/AI/Idle/IdleBehavior.cs | Assets/Scripts/Services/Character/AI/SocialReputationRuntime.cs | Assets/Scripts/Services/Character/Core/CharacterActor.cs | Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs | Assets/Scripts/Services/Character/SpeciesRuntime.cs | Assets/Scripts/Services/Character/Work/StaffDiscontentRuntime.cs | Assets/Scripts/Services/Character/Work/WorkCommandHandler.cs | Assets/Scripts/Services/Character/Work/WorkTargetSelector.cs | Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs | Assets/Scripts/Services/Combat/Work/RepairWorkExecutionHandler.cs | Assets/Scripts/Services/Defense/DefenseFacilitySystem.cs | Assets/Scripts/Services/Infrastructure/ResearchWorkExecutionAdapter.cs | Assets/Scripts/Services/Invasion/InvasionIntruderExecutionCoordinator.cs | Assets/Scripts/Services/Invasion/InvasionIntruderSystem.cs | Assets/Scripts/Services/Invasion/InvasionOwnerEvacuationService.cs | Assets/Scripts/Services/Survival/CharacterBreakdownActionRunner.cs | Assets/Scripts/Services/Survival/CharacterDeprivationRuntime.cs | Assets/Scripts/Services/Wildlife/WildlifeHuntRuntime.cs,Assets/Scripts/Services/Character/Core/CharacterLog.cs | Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs
CharacterAgeConditionChangedEvent,struct,Assets/Scripts/Services/Character/CharacterLifeApplicationAdapter.cs,7,pre-existing-runtime-candidate,4,관계·욕구·기분·생애·가족,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"CharacterAgeConditionChangedEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",2,Assets/Scripts/Services/Character/CharacterLifeApplicationAdapter.cs:81:CharacterLifeApplicationAdapter.CharacterLifeApplicationAdapter | Assets/Scripts/Services/Character/CharacterLifePublicationService.cs:152:CharacterLifePublicationService.CharacterSpeciesId,2,1,,,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterLifeSaveSection | CharacterNarrativeSaveSection | CharacterPsychosocialSaveSection | CharacterWorldSaveSection | DarkSurvivalSaveSection | SurvivalResourcesSaveSection,,Assets/Scripts/Services/Character/CharacterLifeApplicationAdapter.cs | Assets/Scripts/Services/Character/CharacterLifePublicationService.cs,
CharacterAiRuntimeTraceEvent,struct,Assets/Scripts/Services/Character/AI/CharacterAiRuntimeTrace.cs,90,pre-existing-runtime-candidate,4,관계·욕구·기분·생애·가족,NonResult,AI diagnostics trace; not a committed gameplay result,NonResult,AI diagnostics trace; not a committed gameplay result,N/A,excluded,AI diagnostics trace; not a committed gameplay result,1,Assets/Scripts/Services/Character/AI/AIBrain.cs:3744:AIBrain.<unknown>,0,0,,pathState | pathStepCount | progressMilli | progressRevision | reservationState,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterLifeSaveSection | CharacterNarrativeSaveSection | CharacterPsychosocialSaveSection | CharacterWorldSaveSection | DarkSurvivalSaveSection | SurvivalResourcesSaveSection,,,
CharacterBodyHealthDownedEvent,struct,Assets/Scripts/Services/Combat/CharacterBodyHealthContracts.cs,36,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"CharacterBodyHealthDownedEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Combat/CharacterBodyHealthRuntime.cs:1722:CharacterBodyHealthRuntime.<unknown>,1,6,actor,,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,Assets/Scripts/Services/Captivity/CaptivityRuntime.cs | Assets/Scripts/Services/Character/Work/SettlementEmergencyReservePlanner.cs | Assets/Scripts/Services/Character/Work/SettlementThreatEventAdapter.cs | Assets/Scripts/Services/Combat/CharacterBodyHealthContracts.cs | Assets/Scripts/Services/Combat/CharacterBodyHealthRuntime.cs | Assets/Scripts/Services/Combat/CharacterMedicalRuntime.cs | Assets/Scripts/Services/Invasion/DefenseEngagementRuntime.cs,
CharacterBodyHealthRecoveredEvent,struct,Assets/Scripts/Services/Combat/CharacterBodyHealthContracts.cs,46,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"CharacterBodyHealthRecoveredEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Combat/CharacterBodyHealthRuntime.cs:1737:CharacterBodyHealthRuntime.<unknown>,1,5,actor,,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,Assets/Scripts/Services/Captivity/CaptivityRuntime.cs | Assets/Scripts/Services/Character/Work/SettlementEmergencyReservePlanner.cs | Assets/Scripts/Services/Character/Work/SettlementThreatEventAdapter.cs | Assets/Scripts/Services/Combat/CharacterBodyHealthContracts.cs | Assets/Scripts/Services/Combat/CharacterBodyHealthRuntime.cs | Assets/Scripts/Services/Combat/CharacterCombatCommandUnityLifecycleAdapter.cs | Assets/Scripts/Services/Combat/CharacterMedicalRuntime.cs,
CharacterCombatCommandTerminatedEvent,struct,Assets/Scripts/Models/Combat/Core/CharacterCombatCommandModels.cs,72,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"CharacterCombatCommandTerminatedEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Combat/CharacterCombatCommandRuntime.cs:1259:CharacterCombatCommandRuntime.<unknown>,1,0,actorId,finalState,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,Assets/Scripts/Services/Combat/CharacterCombatCommandRuntime.cs,
CharacterConsumablesMealConsumedEvent,struct,Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntimeContracts.cs,565,pre-existing-runtime-candidate,4,관계·욕구·기분·생애·가족,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"CharacterConsumablesMealConsumedEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:2521:MealOperationFailureState.ItemStackId,1,0,characterId | facilityId,,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterLifeSaveSection | CharacterNarrativeSaveSection | CharacterPsychosocialSaveSection | CharacterWorldSaveSection | DarkSurvivalSaveSection | SurvivalResourcesSaveSection,,Assets/Scripts/Services/Survival/CharacterConsumablesApplicationAdapters.cs,
CharacterDeathEvent,struct,Assets/Scripts/Services/Character/Core/CharacterDeathEvent.cs,5,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"CharacterDeathEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",3,Assets/Scripts/Services/Character/Core/CharacterDeathEvent.cs:75:CharacterDeathEventFactory.Create | Assets/Scripts/Services/Character/Core/CharacterDeathEvent.cs:91:CharacterDeathEventFactory.CharacterDeathEventFactory | Assets/Scripts/Services/Combat/CharacterBodyHealthStateRules.cs:1256:CharacterVitalsSideEffectAdapter.CharacterVitalsSnapshot,1,11,characterId | witnessIds,absoluteDay,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,Assets/Scripts/Services/Captivity/CaptivityRuntime.cs | Assets/Scripts/Services/Character/CharacterLifeApplicationAdapter.cs | Assets/Scripts/Services/Character/Core/CharacterDeathEvent.cs | Assets/Scripts/Services/Character/PopulationHealthRuntime.cs | Assets/Scripts/Services/Character/Work/SettlementEmergencyReservePlanner.cs | Assets/Scripts/Services/Combat/CharacterMedicalRuntime.cs | Assets/Scripts/Services/Invasion/DefenseEngagementRuntime.cs | Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs | Assets/Scripts/Services/Survival/CharacterDeprivationRuntime.cs,
